name,price,category,has_active_sale
Calypso - Lemonade #(4026987913289674),$115.55,other,FALSE
Cheese - Grana Padano #(3566971102136738),$163.88,food,FALSE
Cape Capensis - Fillet #(3582795109303441),$189.72,other,FALSE
Alize Gold Passion #(3586695264089064),$165.35,books,TRUE
Chevril #(3543694531857751),$46.22,clothing,FALSE
Pork - Chop #(3567149820773848),$86.71,food,FALSE
Lamb - Whole #(5610135129350026),$188.45,clothing,FALSE
Pork - Shoulder #(6759775029461348614),$174.52,other,TRUE
Shrimp - Black Tiger 8 - 12 #(3539841640347903),$166.49,books,FALSE
Wine - Red #(3541550683005536),$11.37,books,TRUE
Icecream - Dibs #(374288387528341),$125.68,food,TRUE
Veal - Loin #(5552033378109898),$72.60,other,TRUE
Sprouts - Baby Pea Tendrils #(374288290281350),$75.02,food,FALSE
Bread - Bistro Sour #(5038438286045858),$131.10,food,FALSE
Beer - Sleemans Honey Brown #(3547477542419605),$140.85,electronics,FALSE
Shichimi Togarashi Peppeers #(5602218331492800),$38.48,other,TRUE
Peas - Frozen #(6759229150157225),$20.74,electronics,FALSE
Peas - Frozen #(6759229150157225),$20.74,other,TRUE
Chocolate Bar - Oh Henry #(⁰⁴⁵₀₁₂),$160.39,clothing,TRUE
Pepper - Black #(490592987047507467),$122.93,electronics,TRUE
Plums - Red #(3535368879764909),$114.41,clothing,FALSE
Truffle Shells - Semi - Sweet #(6761024330322165501),$63.18,clothing,TRUE
Bar Nature Valley #(3556288378017894),$12.00,clothing,TRUE
Wine - Mas Chicet Rose #(3535028024767906),$34.37,other,FALSE
Veal - Leg Provimi - 50 Lb Max #(),$169.50,clothing,FALSE
Water - Green Tea Refresher #(4041598947771784),$177.19,other,TRUE
Hummus - Spread #(4911042244390243),$24.10,clothing,FALSE
Ezy Change Mophandle #(3536628082193686),$55.59,electronics,TRUE
Banana - Leaves #(30573021217427),$174.40,other,TRUE
Milk - Homo #(3580055653395414),$51.11,food,FALSE
Mackerel Whole Fresh #(50384579792099602),$33.93,books,FALSE
Beer - Pilsner Urquell #(),$6.47,other,FALSE
Wine - Lou Black Shiraz #(6395287628973698),$123.79,books,FALSE
Cherries - Fresh #(4185111441338),$27.80,books,FALSE
Appetizer - Seafood Assortment #(0604583600344324),$87.42,food,FALSE
Sugar - Palm #(67618319342455109),$85.67,electronics,FALSE
Ginger - Fresh #(4017957422702690),$71.68,food,TRUE
Turnip - Mini #(3587997518229127),$114.82,clothing,FALSE
Oil - Olive Bertolli #(50202209844771004),$122.90,books,FALSE
Pate - Liver #(3548689677891155),$34.13,food,TRUE
Bread Base - Toscano #(),$156.99,clothing,FALSE
Cake - Lemon Chiffon #(),$97.02,food,TRUE
Nantucket Apple Juice #(3582916495953843),$2.56,clothing,FALSE
Bread - Bistro White #(6334177978558377),$160.81,clothing,FALSE
Plastic Arrow Stir Stick #(3543998180910252),$194.69,electronics,TRUE
Juice - Orange #(30478790679635),$1.97,food,FALSE
Muffin Batt - Choc Chk #(5602256940098832),$153.40,food,TRUE
Chocolate - Liqueur Cups With Foil #(6304409061489525),$174.96,clothing,TRUE
Cheese - Pied De Vents #(),$108.10,food,TRUE
Kale - Red #(3566923651508528),$108.80,other,FALSE
White Baguette #(5595301997467081),$66.14,clothing,FALSE
Coconut - Shredded Sweet #(3569873100661765),$142.52,other,TRUE
Chutney Sauce - Mango #(3556614015903263),$104.42,clothing,TRUE
Curry Paste - Madras #(4041379612799),$37.08,electronics,FALSE
Salmon - Atlantic Fresh Whole #(3546874966767074),$113.33,clothing,FALSE
Mousse - Mango #((╯°□°）╯︵ ┻━┻)  ),$67.20,electronics,TRUE
Veal - Insides Grains #(201900262212754),$69.44,food,FALSE
Pork - Bacon Sliced #(3588068246931852),$110.34,clothing,TRUE
Nut - Pistachio Shelled #(5020745804509227),$51.62,electronics,TRUE
Nut - Cashews Whole Raw #(4844186744782805),$96.84,food,FALSE
Sprite Diet - 355ml #(4903719830503257845),$189.12,other,TRUE
Oven Mitt - 13 Inch #(),$70.51,clothing,TRUE
Beef - Diced #(¡™£¢∞§¶•ªº–≠),$193.10,clothing,TRUE
